course_id,course_name,category,domain,difficulty_level,tags,prerequisites,description,instructor,enrollment_count,price,price_category,rating,duration_weeks,estimated_hours,popularity_score,,
DS001,Intro to Python,Programming,Data Science,Beginner,Python Basics,None, Variables, Functions,1920,59.99,Mid-range,4.3,8,40,9.5,,
DS002,Statistics 101,Mathematics,Data Science,Beginner,"Descriptive Statistics, Probability, Hypothesis Testing",Basic Math,Foundation course in statistics for data analysis,Prof. Michael Roberts,1920,59.99,Mid-range,4.3,10,50,8.26,,
DS003,ML Basics,Machine Learning,Data Science,Intermediate,"Supervised Learning, Regression, Classification, Model Evaluation","Python, Statistics",Introduction to machine learning algorithms and applications,Dr. Amanda Johnson,3200,89.99,Premium,4.7,12,60,15.04,,
DS004,Deep Learning Fundamentals,Machine Learning,AI/ML,Advanced,"Neural Networks, CNN, RNN, PyTorch, TensorFlow","ML Basics, Python, Linear Algebra",Comprehensive deep learning course with hands-on projects,Dr. Kevin Zhang,1850,129.99,Premium,4.8,16,80,8.88,,
WD001,HTML5 Fundamentals,Frontend,Web Development,Beginner,"HTML5 Tags, Semantic HTML, Forms, Accessibility",None,Master the building blocks of web development with HTML5,Lisa Martinez,4200,39.99,Budget,4.4,6,30,18.48,,
WD002,Web Design Basics,Design,Web Development,Beginner,"CSS3, Responsive Design, Flexbox, Grid Layout",HTML5 Fundamentals,Create beautiful and responsive web designs,Carlos Rodriguez,3100,54.99,Mid-range,4.6,8,40,14.26,,
WD003,JavaScript Essentials,Programming,Web Development,Intermediate,"JavaScript Syntax, DOM Manipulation, Event Handling, AJAX","HTML5 Fundamentals, Web Design Basics",Dynamic web development with JavaScript,Emma Thompson,2800,69.99,Mid-range,4.5,10,50,12.6,,
WD004,React Development,Framework,Web Development,Advanced,"React Components, State Management, Hooks, Redux",JavaScript Essentials,Build modern web applications with React,David Kim,2400,99.99,Premium,4.7,14,70,11.28,,
BF001,Finance 101,Finance,Business,Beginner,"Financial Statements, Time Value of Money, Risk Analysis",Basic Math,Introduction to financial principles and analysis,Prof. Jennifer Walsh,1650,64.99,Mid-range,4.2,8,40,6.93,,
BF002,Excel for Business,Tools,Business,Intermediate,"Advanced Excel Functions, Pivot Tables, Data Analysis, VBA",None,Master Excel for business analytics and reporting,Mark Anderson,3800,49.99,Budget,4.4,6,30,16.72,,
BF003,Economics 101,Economics,Business,Beginner,"Microeconomics, Macroeconomics, Market Analysis",None,Fundamental economic principles and their applications,Dr. Rachel Green,2200,59.99,Mid-range,4.1,12,60,9.02,,
DG001,UX Principles,UX Design,Design,Beginner,"User Research, Wireframing, Prototyping, Usability Testing",None,Learn user experience design fundamentals,Sophie Taylor,2100,74.99,Mid-range,4.6,10,50,9.66,,
DG002,Visual Design,Visual Design,Design,Intermediate,"Typography, Color Theory, Layout Design, Brand Identity",UX Principles,Create visually appealing and effective designs,Alex Parker,1800,69.99,Mid-range,4.5,8,40,8.1,,
CS001,Network Basics,Networking,Cybersecurity,Beginner,"TCP/IP, OSI Model, Network Protocols, Basic Security",None,Foundation course in computer networking,James Wilson,1400,59.99,Mid-range,4.3,8,40,6.02,,
CS002,OS Fundamentals,Operating Systems,Cybersecurity,Intermediate,"Linux, Windows Security, File Systems, Process Management",Network Basics,Understanding operating systems from a security perspective,Maria Gonzalez,1200,69.99,Mid-range,4.4,10,50,5.28,,
CS003,Ethical Hacking,Security,Cybersecurity,Advanced,"Penetration Testing, Vulnerability Assessment, Security Tools","Network Basics, OS Fundamentals",Learn ethical hacking techniques and security assessment,Dr. Robert Black,980,149.99,Premium,4.8,16,80,4.7,,
