course_id,course_name,category,domain,difficulty_level,tags,instructor,rating,estimated_hours,enrollment_count,price,price_category,popularity_score,,
DS001,Intro to Python,Programming,Data Science,Beginner,Python Basics,Prof. Michael Roberts,4.7,40,1920,59.99,Mid-range,9.5,,
DS002,Statistics 101,Mathematics,Data Science,Beginner,"Descriptive Statistics, Probability, Hypothesis Testing",Prof. Michael Roberts,4.3,50,1920,59.99,Mid-range,8.26,,
DS003,ML Basics,Machine Learning,Data Science,Intermediate,"Supervised Learning, Regression, Classification, Model Evaluation",Dr. Amanda Johnson,4.7,60,3200,89.99,Premium,15.04,,
DS004,Deep Learning Fundamentals,Machine Learning,AI/ML,Advanced,"Neural Networks, CNN, RNN, PyTorch, TensorFlow",Dr. Kevin Zhang,4.8,80,1850,129.99,Premium,8.88,,
WD001,HTML5 Fundamentals,Frontend,Web Development,Beginner,"HTML5 Tags, Semantic HTML, Forms, Accessibility",Lisa Martinez,4.4,30,4200,39.99,Budget,18.48,,
WD002,Web Design Basics,Design,Web Development,Beginner,"CSS3, Responsive Design, Flexbox, Grid Layout",Carlos Rodriguez,4.6,40,3100,54.99,Mid-range,14.26,,
WD003,JavaScript Essentials,Programming,Web Development,Beginner,"JavaScript Syntax, DOM Manipulation, Event Handling, AJAX",Emma Thompson,4.5,50,2800,69.99,Mid-range,12.6,,
WD004,React Development,Framework,Web Development,Beginner,"React Components, State Management, Hooks, Redux",David Kim,4.7,70,2400,99.99,Premium,11.28,,
DS004,Deep Learning Fundamentals,Machine Learning,AI/ML,Advanced,"Neural Networks, CNN, RNN, PyTorch, TensorFlow",Dr. Kevin Zhang,4.2,40,8.88,129.99,Mid-range,6.93,,
DS005,Advanced Neural Networks,Machine Learning,AI/ML,Expert,"Deep CNNs, LSTM, GAN, Transformer Models, Keras",Dr. Sarah Chen,4.4,30,9.12,149.99,Budget,16.72,,
DS006,Computer Vision with Deep Learning,Machine Learning,AI/ML,Advanced,"Image Processing, Object Detection, CNN, OpenCV, YOLO",Prof. Michael Rodriguez,4.1,60,8.95,139.99,Mid-range,9.02,,
DS007,Natural Language Processing Deep Dive,Machine Learning,AI/ML,Advanced,"NLP, BERT, GPT, Text Classification, Sentiment Analysis",Dr. Amanda Liu,4.6,50,9.03,134.99,Mid-range,9.66,,
DS008,Reinforcement Learning Mastery,Machine Learning,AI/ML,Expert,"Q-Learning, Policy Gradients, Deep Q-Networks, OpenAI Gym",Dr. James Park,4.5,40,8.76,159.99,Mid-range,8.1,,
DS009,MLOps and Model Deployment,Machine Learning,AI/ML,Advanced,"Docker, Kubernetes, MLflow, Model Monitoring, CI/CD",Prof. Lisa Thompson,4.3,40,8.84,124.99,Mid-range,6.02,,
WD001,HTML5 basics,Frontend,Web Development,Beginner,"HTML5 Tags, Semantic HTML, Forms, Accessibility",Lisa Martinez,4.4,50,18.48,39.99,Mid-range,5.28,,
WD005,HTML5 Advanced Techniques,Frontend,Web Development,Intermediate,"Canvas API, Web Storage, Geolocation, Web Workers, PWA",Carlos Garcia,4.8,80,16.92,49.99,Premium,4.7,,
WD006,Semantic Web Development,Frontend,Web Development,Beginner,"Microdata, Schema.org, ARIA, SEO Optimization, Web Standards",Jennifer Wong,4.5,60,17.85,44.99,Mid-range,7.2,,
WD007,Progressive Web Apps Basics,Frontend,Web Development,Intermediate,"Service Workers, App Manifests, Offline Functionality, Push Notifications",Robert Kumar,4.6,50,16.24,54.99,Premium,5.06,,
WD008,Web Accessibility Fundamentals,Frontend,Web Development,Beginner,"WCAG Guidelines, Screen Readers, Keyboard Navigation, Color Contrast",Maria Gonzalez,4.2,30,18.12,42.99,Mid-range,8.4,,
WD009,Mobile-First HTML Development,Frontend,Web Development,Intermediate,"Responsive Images, Touch Events, Viewport Meta, Mobile Optimization",Alex Johnson,4.7,60,17.36,47.99,Premium,13.16,,
WD002,Web Design Basics,Design,Web Development,Beginner,"CSS3, Responsive Design, Flexbox, Grid Layout",Carlos Rodriguez,4.3,40,14.26,54.99,Mid-range,5.59,,
WD010,Advanced CSS Styling,Design,Web Development,Intermediate,"CSS Animations, Transforms, Custom Properties, Sass/SCSS",Sophie Laurent,4.1,20,13.78,64.99,Budget,3.69,,
WD011,UI/UX Design Principles,Design,Web Development,Beginner,"Color Theory, Typography, User Research, Wireframing, Prototyping",Nathan Brooks,4.5,50,15.02,59.99,Premium,6.75,,
WD012,CSS Grid Layout Mastery,Design,Web Development,Intermediate,"Grid Systems, Complex Layouts, Responsive Grids, Browser Support",Isabella Chen,4.4,40,12.84,52.99,Mid-range,9.68,,
WD013,Modern CSS Architecture,Design,Web Development,Advanced,"BEM Methodology, CSS Modules, Styled Components, Design Systems",Diego Martinez,4.3,40,11.58,74.99,Mid-range,7.74,,
WD014,Animation and Interaction Design,Design,Web Development,Intermediate,"CSS Animations, JavaScript Transitions, GSAP, Motion Design",Rachel Kim,4.6,60,13.92,69.99,Mid-range,6.44,,
WD003,JavaScript Essentials,Programming,Web Development,Beginner,"JavaScript Syntax, DOM Manipulation, Event Handling, AJAX",Emma Thompson,4.5,50,12.6,69.99,Mid-range,11.93,,
WD015,JavaScript Advanced Concepts,Programming,Web Development,Intermediate,"Closures, Prototypes, Async/Await, ES6+ Features, Modules",Michael Chang,4.4,40,11.88,79.99,Mid-range,9.24,,
WD016,Frontend JavaScript Frameworks,Programming,Web Development,Intermediate,"Vue.js, Angular Basics, Component Architecture, State Management",Amanda Foster,4.6,30,11.34,84.99,Budget,15.64,,
WD017,JavaScript Testing and Debugging,Programming,Web Development,Intermediate,"Jest, Unit Testing, Browser DevTools, Error Handling, Performance",Trevor Wilson,4.7,70,12.18,74.99,Premium,5.64,,
WD018,Node.js Backend Development,Programming,Web Development,Intermediate,"Express.js, APIs, Database Integration, Authentication, Deployment",Priya Patel,4.8,80,11.52,89.99,Premium,8.64,,
WD019,Modern JavaScript Development,Programming,Web Development,Advanced,"TypeScript, Webpack, Babel, npm/yarn, Code Splitting",Oliver Davis,4.6,90,10.86,94.99,Premium,4.37,,
WD004,React Development,Framework,Web Development,Beginner,"React Components, State Management, Hooks, Redux",David Kim,4.3,40,11.28,99.99,Mid-range,7.53,,
WD020,React Advanced Patterns,Framework,Web Development,Intermediate,"Higher-Order Components, Render Props, Context API, Custom Hooks",Jessica Zhang,4.5,30,10.74,109.99,Mid-range,9.9,,
WD021,React with TypeScript,Framework,Web Development,Intermediate,"TypeScript Integration, Type Safety, Interface Design, Generic Components",Andrew Miller,4.4,20,10.32,104.99,Budget,12.32,,
WD022,React State Management,Framework,Web Development,Advanced,"Redux Toolkit, Zustand, React Query, Context Patterns",Samantha Lee,4.6,50,9.84,114.99,Premium,9.2,,
